Contact Name,Company Name,Email,Website,Description,Products Requested,Language Spoken,,Country
,Turn-Key Communications,info@turnkeycommunications.ca,https://turnkeycommunications.ca,Tech Dept.,,English,,Canada
,Unmanned Aerial Serv,info@uaservice.ca,https://uaservice.ca,Operations,,English,,Canada
,Vast Resources Ltd.,sales@vastresources.ca,https://vastresources.ca,Sales Dept.,,English,,Canada
,Villeneuve Engineering,info@villeeng.ca,https://villeeng.ca,Inquiries,,English,,Canada
,Wabi Iron & Steel Corp,sales@wabicorp.com,https://wabicorp.com,Sales Team,,English,,USA
,Walden Group,info@walden-group.com,https://walden-group.com,Contracting,,English,,USA
,We3Minds Inc.,info@we3minds.com,https://we3minds.com,Tech Advisor,,English,,USA
,Windigo Community Dev,info@windigo.ca,https://windigo.ca,Economic Dev.,,English,,Canada
,WipWare Inc.,info@wipware.com,https://wipware.com,Tech Sales,,English,,USA
,X-Glo North America,info@xglo.ca,https://xglo.ca,Sales Dept.,,English,,Canada
,Antofagasta Minerals,info@aminerals.cl,https://aminerals.cl,Copper,,Español,,Chile
,Codelco,contacto@codelco.cl,https://codelco.cl,Copper,,Español,,Chile
,Southern Copper,info@southerncopper.com,https://southerncopper.com,Copper,,English,,USA
,Hudbay Minerals,info@hudbayminerals.com,https://hudbayminerals.com,Copper/Zinc,,English,,USA
,PanGlobal Resources,info@panglobalresources.com,https://panglobalresources.com,Copper,,English,,USA
,BHP,info@bhp.com,https://bhp.com,Copper/Nickel,,English,,USA
,Fortescue,info@fortescue.com,https://fortescue.com,Copper,,English,,USA
,Glencore,info@glencore.com,https://glencore.com,Copper/Nickel,,English,,USA
,Anglo American,info@angloamerican.com,https://angloamerican.com,Copper/Nickel,,English,,USA
,Vale,info@vale.com,https://vale.com,Nickel/Copper,,English,,USA
,Teck Resources,info@teck.com,https://teck.com,Copper,,English,,USA
,Capstone Copper,info@capstonecopper.com,https://capstonecopper.com,Copper,,English,,USA
,Ero Copper,info@erocopper.com,https://erocopper.com,Copper,,English,,USA
,Taca Taca (First Quantum),tacataca@fqml.com,https://first-quantum.com,Copper,,English,,USA
,Sykes Seafood Limited,Russell@ruskim.co.uk ,,"Líder del mercado alemán en pescado y mariscos, manufactura y distribución de productos premium.",,English,,United Kingdom
,IFC,faouzi.benarab@internationalfoodcommodities.com,,"Your domain name has been successfully registered with Hosting Ireland - other services offered include website builder, cloud hosting, cloud vps or dedicated servers.",,English,,USA
,Frigo Marinus,carlos@troulo.com ,,"Importador y distribuidor de congelados 'Halal', abasteciendo a mercados y caterings en el sudeste asiático.",,English,,USA
,Costa Sul,gessica@costasul.com.br,,,,Português,,Brasil
,Extremosul,extremosule@gmail.com ,,"Especialistas en productos de lujo como aletas de tiburón, pepino de mar y abulón seco/congelado.",,English,,USA
,,cleune@brsf.com.br,,,,Português,,Brasil
,Oesa,jonathan.briese@dellys.com.br,,"Una de las compañías pesqueras más grandes del mundo, con divisiones masivas de importación y procesamiento.",,Português,,Brasil
,Jahu,barata@frescatto.com ,,Importador japonés que abastece a supermercados y cadenas de sushi con atún y mariscos de alta calidad.,,English,,USA
,Mermaid Food,qianan2008@126.com ,,网易126免费邮箱–你的专业电子邮局，超过20年的邮箱运营经验，系统快速稳定安全，支持超大附件和网盘服务。网易邮箱官方App“邮箱大师”帮您高效处理邮件，支持所有邮箱，并可在手机、Windows和Mac上多端协同使用。,,English,,USA
,Jeswory,marcelo@jeswory.com,,,,English,,USA
,Brasmar,ruisacramento@brasmar.com ,,"A Brasmar tem para oferecer uma vasta variedade de produtos do mar congelados, em diversos formatos e tipos de apresentação, em função das necessidades de cada cliente.",,English,,USA
,Fish Brothers Inc,matthew@aquanitafoods.com ,,"Gigante chino integrado verticalmente, enfocado en camarón y tilapia, importando también para el mercado interno.",,English,,USA
,,importacao@newfish.com.br,,,,Português,,Brasil
,Tche,comex@tchepescados.com,,"Uno de los mayores mayoristas de Rungis, importando la gama más amplia de mariscos frescos en Francia.",,English,,USA
,"Galaxy Global International , LLC",tony@ggifoods.com,,,,English,,USA
,South American Fish Export Uruguay S.A,safe@montevideo.com.uy,,"Noticias políticas, económicas, deportivas, culturales, tecnológicas y de interés general de Uruguay y el mundo",,Español,,Uruguay
,ACL,ant@aclatlantic.co.uk ,,Trader holandés con amplia experiencia en la importación de pescado congelado a granel para industria.,,English,,United Kingdom
,Argafish,apagani@argafish.com,,Importador francés especializado en filetes de pescado y mariscos para el exigente mercado galo.,,English,,USA
,Sogenave,rodrigo.silva@sogenave.pt,,"Importador italiano clave en el mercado de Chioggia, especializado en moluscos y pescado fresco del Mediterráneo.",,Português,,Portugal
,LM,comex@lmimport.com.br,,"Proveedor líder en Singapur, importando salmón y pescados premium para el sector hotelero de lujo.",,Português,,Brasil
,Nova Seafood,lukasz@novaseafood.pl,,,,English,,Poland
,"METAFOODS, LLC",tomm@metafoodsllc.com,,,,English,,USA
,Trade Wise Group,Nodomachaidze@tradewisegroup.org,,,,English,,USA
,DK Meats,ekaterina@dkmeats.com,,,,English,,USA
,Aliefs Ike,cv@aliefs.gr,,,,English,,Greece
,,fabio@karamsmar.com,,,,English,,USA
,Beaver Street Fisheries INC. ,zsemeniuk@seabest.com ,,,,English,,USA
,Pescamar Trading LTD,george@pescamar.gr,,,,English,,Greece
,Diamax Desarrollo Empresarial S.L.,s.guibatdinov@diamaxfood.com ,,Empresa líder en la importación y exportación de productos alimentarios,,English,,USA
,Full Moon Fish CO,vgarcia@gammaseafood.com,,Alfa Gamma Seafood Group,,English,,USA
,"Schooner Co, LTD Japan",wakabayashi@schooner.co.jp,,,,Japanese,,Japan
,Fratello Trade,tomasovic@fratello-trade.com ,,"Fratello Trade a.d. Banja Luka se bavi preradom, pakovanjem, skladištenjem, prodajom i distribucijom svježe i zamrznute ribe, povrća, voća.",,English,,USA
,,mauro.uller@dellys.com.br,,,,Português,,Brasil
,Marineros Freschuk SL,k.filimonova@marinero-fsk.es ,,"Your trusted B2B partner for top-quality seafood, dairy, and cured meats. Explore our end-to-end solutions for retailers and wholesalers.",,Español,,España
,Global Food,dan@globalfoodtrading.com ,,,,English,,USA
,Marine Foods,l.michels@marinefoods.com,,"Líder global en productos del mar de ambient (atún), con creciente división de importación de congelados y refrigerados.",,English,,USA
,Nordic Seafood,marcelo@mrzseafood.com,,,,English,,USA
,Atlantis Seafood Distributors (Pty) Ltd,shakira.Naidoo@atlantisfoods.co.za,,,,English,,South Africa
,UrbisFood SRL,oanzorena@icloud.com,,"Log in to iCloud to access your photos, mail, notes, documents and more. Sign in with your Apple Account or create a new account to start using Apple services.",,English,,USA
,Midas Trading Importação E Exportação Ltda,comex@tchepescados.com,,"Uno de los mayores mayoristas de Rungis, importando la gama más amplia de mariscos frescos en Francia.",,English,,USA
,Ash Poultry,emorales@movinet.com.uy,,,,Español,,Uruguay
,Capital Trade ImportaçãO E ExportaçãO LTDA.,kelveen@grupomanieto.com,,,,English,,USA
,Mar Fish S.L. (Marfish),marfish@marfish.es,,Importación y comercialización de pescado y marisco congelado en Barcelona.,,Español,,España
,Aframar SL,aframar@aframar.es,,"Importación, exportación y comercialización de pescado congelado en Canarias.",,Español,,España
,Iberconsa,iberconsa@iberconsa.com,,Líder mundial en pesca y procesamiento de merluza y langostino congelado.,,English,,USA
,Sachafish Mayoristas,salcantarap@hotmail.com,,Mayorista de pescado fresco y congelado en Mercamadrid.,,English,,USA
,Istopesca,istopesca@istopesca.com,,"Puesto mayorista en Mercamadrid, venta de pescado fresco.",,English,,USA
,Circeo Pesca,circeopesca@circeopesca.it,,Producción y comercialización mayorista de productos del mar.,,Italiano,,Italia
,Maior Mar,maiormar@libero.it,,Pescado fresco y de importación en Sicilia Orientale.,,Italiano,,Italia
,Sicily Food,sicilyfood@sicilyfood.it,,"Especialistas en cortes de pez espada, atún y salmón.",,Italiano,,Italia
,Isola Fish S.r.l.,isolafishsrl@pec.it,,Trade ittico fresco e surgelato en Sicilia.,,Italiano,,Italia
,Copromar,copromar@copromar.it,,Distribuisce prodotti ittici freschi e surgelati.,,Italiano,,Italia
,Srl Garbin,srlgarbin@gmail.com,,Grossista presso il Mercato Ittico di Milano.,,English,,USA
,Coop. Pescatori Arborea,ufficiomercati@nieddittas.it,,"Grossista e produttore, presente al Mercato di Milano.",,Italiano,,Italia
,CAM Srl,daniele@camittico.it,,Commercio all'ingrosso prodotti ittici Milano.,,Italiano,,Italia
,Goldfish S.r.l.,vendite@goldfishsrl.it,,Distributore di pesce e prodotti ittici surgelati.,,Italiano,,Italia
,Frutos Marinos S.A.,frutos.delmar02@gmail.com,,"Comercializa camarón, pulpo y calamar gigante congelado.",,English,,USA
,Granjas Ojai,roberto.osuna@grupoojai.com,,Productores y distribuidores mayoristas de camarón.,,English,,USA
,Grupo Belova,compras@grupobelova.com,,Comercializan diversos productos del mar.,,English,,USA
,Grupo Buenrostro,facturacionopm@hotmail.com,,"Camarón, pulpo, calamar y pescado congelado.",,English,,USA
,Mar Congelado,ventas@marcongelado.com.mx,,Especializados en la distribución de pescados congelados.,,Español,,México
,Comercializadora Corzo,comecor@prodigy.net.mx,,Importan conservas y congelados marinos.,,Español,,México
,Mar Viviente,juanpablo@livingseainc.com,,"Importadores de tiburones, langosta y camarones.",,English,,USA
,Universal Business,gomezisaac@yahoo.com.mx,,Gran proveedor mayorista/fabricante de mariscos.,,Español,,México
,General Seafood,generalseafood@hotmail.com,,Compra venta de mariscos del pacífico.,,English,,USA
,King Fisher,kf.pesca@gmail.com,,Calamar congelado a bordo.,,English,,USA
,Fishonline,info@fishonline.com.co,,Distribuidora de pescados y mariscos congelados.,,Español,,Colombia
,ANTILLANA,antonio.royo@antillana.com.co,,Ventas nacionales retail y foodservice de congelados.,,Español,,Colombia
,COINREFRI,ftakahashi@coinrefri.com,,Importador de productos del mar (ej. desde Alaska).,,English,,USA
,SEAFROST,fvia@seafrost.com.pe,,"Ventas internacionales, importa productos congelados.",,Español,,Perú
,PERU GOURMET EXPORTS,finanzas@perugrexports.com,,Comercialización mayorista de productos peruanos e imp.,,English,,USA
,Comercial Oceánica,contacto@comercialoceanica.cl,,Empresa importadora de productos del mar congelados.,,Español,,Chile
,Nuestro Mar Seafood,tienda.puntaarenas@nuestromarspa.com,,Market y distribución de seafood en el sur de Chile.,,English,,USA
,Royal Schmidt Seafood,purchasing-frozen@schmidtseafood.com,,Importador de congelados en Rotterdam.,,English,,USA
,Westside Fishermen,westside-fish@mes.co.uk,,Pescado desde las islas Shetlands.,,English,,United Kingdom
,EN Consultant,enconsultant@gmail.com,,Consultores y traders de seafood.,,English,,USA
,Northern Fish Iberia,vtavares@nfiberia.com,,Importador y exportador en Península Ibérica.,,English,,USA
,Nutriplus,nutriplus@nutriplus.pt,,Productos alimentares congelados.,,Português,,Portugal
,Filmar.pt,nuno.costa@filmar.pt,,Importador portugués de pescado.,,Português,,Portugal
,Die Räucherei,s.peick@die-raeucherei.com,,"Hamburg, ahumados y caviar de alta calidad.",,English,,USA
,Heinrich Kühlmann,wiebke.steiner@kuehlmann.de,,Delicatessen y pescado marinado.,,English,,Germany
,Royal Greenland DE,CustomerServiceGermany@royalgreenland.com,,Filial alemana del gigante de Groenlandia.,,English,,USA
,BAN VA TOI FOODS,btfood@vnn.vn,,Pescado gato y tilapia congelados.,,English,,USA
,GOLDEN OCEAN SEAFOOD,seanbui.seafood@gmail.com,,Atún y camarón valor agregado.,,English,,USA
,GOLDEN SHRIMP,sales.goldenshrimp@gmail.com,,Camarón y pescado congelado.,,English,,USA
,NGOC HAI SEAFOOD,info@ngochaiseafood.com.vn,,Camarón seco y productos del mar.,,English,,Vietnam
,THANH HAO SEAFOOD,hao@thanhhaoseafood.com,,"Pescado, vieiras y pulpo congelados.",,English,,USA
,THE KHANH LLC,huethekhanh@gmail.com,,Camarón y pescado de agua dulce.,,English,,USA
,VAN DUC FOOD,vanduc@vanduc.com.vn,,Pangasius y tilapia.,,English,,Vietnam
,VIEOS FOODS,shrimp@vieosfoods.com,,Especialistas en camarón.,,English,,USA
,AN HUY CO.,minh@anhuybt.com.vn,,Pangasius y camarón.,,English,,Vietnam
,BINH MINH IM-EXPORT,info@sunriseseafoods.com.vn,,Pangasius y valor agregado.,,English,,Vietnam
,DONG A SEAFOOD,donga@dongaseafood.com,,Pangasius y Basa.,,English,,USA
,GODACO SEAFOOD,johnnguyen@godaco.com.vn,,Almejas y pangasius.,,English,,Vietnam
,HOA PHAT SEAFOOD,info@hophafish.com.vn,,Catfish congelado.,,English,,Vietnam
,VIETNAM NATIONAL SEAPRODUCTS,seaprodex@seaprodex.vn,,Gran corporación estatal de seafood.,,English,,USA
,VINASEA CO.,vinasea@vinasea.com,,"Camarón, sepia y atún.",,English,,USA
,AST - Australian Seafood Traders,info@seafoodtraders.com.au,,Traders de seafood en Australia.,,English,,Australia
